id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
16,帕斯卡尔·沙吕,9.4,英雄联盟：双城之战 第二季,"艾拉·珀内尔,海莉·斯坦菲尔德,梁佩诗,哈里·劳埃德,布雷特·塔克",2024,"剧情,动作,科幻,动画,奇幻,冒险",美国,英语,2024-11-09,95,27154,"78.3%,15.1%,5.2%,0.9%,0.5%"
17,张博昱,7.1,月光变奏曲,"虞书欣,丁禹兮,杨仕泽,马吟吟,王汀",2021,"剧情,爱情",中国大陆,汉语普通话,2021-05-20,84,157169,"19.0%,33.5%,36.7%,7.2%,3.5%"
18,弗兰克·德拉邦特,9.7,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗",1994,"剧情,犯罪",美国,英语,1994-09-10,142,3088000,"85.8%,12.8%,1.3%,0.1%,0.1%"
19,吕克·贝松,9.4,这个杀手不太冷,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔",1994,"剧情,动作,犯罪","法国,美国","英语,意大利语,法语",2024-11-01,133,2436185,"73.0%,22.9%,3.6%,0.3%,0.2%"
20,宫崎骏,9.4,千与千寻,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男",2001,"剧情,动画,奇幻",日本,日语,2019-06-21,125,2387736,"73.6%,22.8%,3.3%,0.2%,0.1%"
21,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",9.2,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯",2016,"喜剧,动画,冒险",美国,"英语,挪威语",2016-03-04,109,2096966,"66.9%,28.5%,4.4%,0.2%,0.1%"
22,凯莉·马塞尔,6.5,毒液：最后一舞,"汤姆·哈迪,切瓦特·埃加福,朱诺·坦普尔,瑞斯·伊凡斯,斯蒂芬·格拉汉姆",2024,"动作,科幻,惊悚,冒险",美国,英语,2024-10-23,109,113286,"10.7%,26.1%,45.1%,14.9%,3.2%"
23,大卫·叶茨,8.3,哈利·波特与混血王子,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,迈克尔·刚本,大卫·勒格诺",2009,"奇幻,冒险","英国,美国",英语,2009-07-15,153,593351,"40.6%,38.7%,18.3%,2.1%,0.3%"
24,维姆·文德斯,8.5,完美的日子,"役所广司,柄本时生,中野有纱,山田葵 ,麻生祐未",2023,剧情,"日本,德国","日语,英语",2024-11-15,125,81058,"42.4%,41.6%,13.6%,1.8%,0.5%"
25,詹姆斯·卡梅隆,9.5,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温斯莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍",1997,"剧情,爱情,灾难","美国,墨西哥","英语,意大利语,德语,俄语",1998-04-03,194,2339355,"76.8%,20.0%,2.9%,0.2%,0.1%"
26,"李·昂克里奇,阿德里安·莫利纳",9.1,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托",2017,"喜剧,动画,音乐,奇幻",美国,"英语,西班牙语",2017-11-24,105,1823926,"62.5%,30.2%,6.7%,0.4%,0.2%"
27,彼得·威尔,9.4,楚门的世界,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",1998,"剧情,科幻",美国,英语,1998-06-05,103,1869102,"72.4%,24.1%,3.3%,0.2%,0.1%"
28,宫崎骏,7.6,你想活出怎样的人生,"山时聪真,菅田将晖,柴崎幸,爱缪,木村佳乃",2023,"动画,奇幻,冒险",日本,日语,2024-04-03,124,376235,"22.0%,41.7%,30.3%,4.8%,1.2%"
29,文牧野,9.0,我不是药神,"徐峥,王传君,周一围,谭卓,章宇",2018,"剧情,喜剧",中国大陆,"汉语普通话,英语,上海话,印地语",2018-07-05,117,2233497,"58.8%,33.7%,6.8%,0.5%,0.2%"
30,罗伯特·泽米吉斯,9.5,阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·辛尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德",1994,"剧情,爱情",美国,英语,1994-06-23,142,2298615,"77.0%,19.9%,2.8%,0.2%,0.1%"
31,饺子,8.4,哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮",2019,"剧情,喜剧,动画,奇幻",中国大陆,汉语普通话,2019-07-26,110,1882043,"42.3%,39.1%,15.6%,2.2%,0.8%"
32,帕克·芬恩,7.1,夺命微笑2,"娜奥米·斯科特,凯尔·加尔纳,德鲁·巴里摩尔,罗丝玛丽·德薇特,卢卡斯·盖奇",2024,"悬疑,惊悚,恐怖",美国,英语,2024-10-16,127,11197,"15.0%,38.5%,36.3%,8.0%,2.3%"
33,克里斯·哥伦布,9.2,哈利·波特与魔法石,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,艾伦·瑞克曼,玛吉·史密斯",2001,"奇幻,冒险","美国,英国",英语,2002-01-26,152,1314582,"65.9%,28.1%,5.5%,0.3%,0.1%"
34,劳拉·比斯普里,8.6,我的天才女友 第四季,"阿尔芭·罗尔瓦赫尔,艾琳·马伊奥里诺,法布里齐奥·吉福尼,安娜丽塔·维托罗,伊丽莎白·德·帕罗奥",2024,剧情,"意大利,美国","意大利语,那不勒斯语",2024-09-09,61,14850,"50.8%,34.1%,11.8%,2.1%,1.2%"
35,陈凯歌,9.6,霸王别姬,"张国荣,张丰毅,巩俐,葛优,英达",1993,"剧情,爱情,同性","中国大陆,中国香港",汉语普通话,1993-07-26,171,2279306,"82.5%,15.2%,1.9%,0.2%,0.2%"
36,新海诚,8.5,你的名字。,"神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌",2016,"剧情,爱情,动画",日本,日语,2016-12-02,106,1513955,"43.5%,38.7%,15.9%,1.6%,0.4%"
37,彼得·法雷里,8.9,绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫",2018,"剧情,喜剧,音乐,传记","美国,中国大陆","英语,意大利语,俄语,德语",2019-03-01,130,1774084,"55.0%,37.3%,7.1%,0.4%,0.1%"
38,大卫·叶茨,8.5,哈利·波特与凤凰社,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,加里·奥德曼,拉尔夫·费因斯",2007,"奇幻,冒险","英国,美国",英语,2007-08-10,138,639972,"43.9%,40.6%,14.3%,1.0%,0.2%"
39,涅提·蒂瓦里,9.0,摔跤吧！爸爸,"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃",2016,"剧情,家庭,传记,运动",印度,"印地语,英语",2017-05-05,161,1658216,"59.4%,33.1%,6.9%,0.5%,0.2%"
40,克里斯托弗·诺兰,9.4,星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克",2014,"剧情,科幻,冒险","美国,英国,加拿大",英语,2014-11-12,169,2010996,"75.6%,20.2%,3.6%,0.4%,0.2%"
41,奇道,6.5,宿敌,"廖凡,朱珠,张开泰,李健,奇道",2024,"剧情,悬疑,犯罪",中国大陆,汉语普通话,2024-11-07,86,11121,"13.5%,26.7%,39.6%,13.9%,6.4%"
42,贾玲,7.7,你好，李焕英,"贾玲,张小斐,沈腾,陈赫,刘佳",2021,"剧情,喜剧,奇幻",中国大陆,汉语普通话,2021-02-12,128,1493400,"23.4%,44.7%,27.3%,3.7%,0.9%"
43,罗伯·莱纳,9.1,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼",2010,"剧情,喜剧,爱情",美国,英语,2010-07-26,90,1945858,"62.1%,30.4%,6.8%,0.5%,0.2%"
44,拉吉库马尔·希拉尼,9.2,三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达",2009,"剧情,喜剧,爱情,歌舞",印度,"印地语,乌尔都语,英语",2011-12-08,171,1968009,"68.9%,25.4%,5.0%,0.5%,0.2%"
45,刘乐,7.8,再见爱人 第四季,"黄圣依,杨子,李行亮,麦琳,刘爽",2024,真人秀,中国大陆,汉语普通话,2024-10-17,64,22286,"35.2%,38.7%,15.1%,3.2%,7.8%"
46,费振翔,9.6,山花烂漫时,"宋佳,兰西雅,都兰,合诗雨,杨颜嘉",2024,剧情,中国大陆,汉语普通话,2024-09-10,69,161702,"82.5%,15.0%,1.9%,0.2%,0.4%"
47,克里斯托弗·诺兰,9.4,盗梦空间,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,汤姆·哈迪,渡边谦",2010,"剧情,科幻,悬疑,冒险","美国,英国","英语,日语,法语",2010-09-01,148,2198286,"72.7%,23.4%,3.5%,0.2%,0.1%"
48,尼蒂兰·萨米纳坦,8.7,因果报应,"维杰·西图帕提,阿努拉格·卡施亚普,玛玛塔·莫汉达斯,那塔拉简·苏布拉马尼亚姆,阿比拉米",2024,"动作,悬疑,犯罪",印度,泰米尔语,2024-11-29,141,150384,"47.6%,39.7%,10.9%,1.2%,0.5%"
49,雷德利·斯科特,7.1,角斗士2,"保罗·麦斯卡,佩德罗·帕斯卡,康妮·尼尔森,丹泽尔·华盛顿,约瑟夫·奎恩",2024,"剧情,动作,冒险","英国,美国",英语,2024-11-22,148,10048,"20.0%,27.9%,39.0%,10.8%,2.3%"
50,郭帆,7.9,流浪地球,"吴京,屈楚萧,李光洁,吴孟达,赵今麦",2019,"科幻,冒险,灾难",中国大陆,"汉语普通话,英语,俄语,法语,日语,韩语,印尼语",2019-02-05,125,1986469,"34.5%,36.2%,21.7%,4.9%,2.6%"
51,邵艺辉,8.1,爱情神话,"徐峥,马伊琍,吴越,倪虹洁,周野芒",2021,"剧情,喜剧,爱情",中国大陆,"汉语普通话,沪语",2021-12-24,112,780507,"27.9%,51.7%,17.9%,2.0%,0.5%"
52,姜文,9.0,让子弹飞,"姜文,葛优,周润发,刘嘉玲,陈坤",2010,"剧情,喜剧,动作,西部","中国大陆,中国香港","汉语普通话,四川话,山西话",2010-12-16,132,1813462,"60.7%,30.7%,7.7%,0.7%,0.3%"
53,何妙祺,7.4,我谈的那场恋爱,"吴君如,张天赋,邓丽欣,陈辉虹,张锦程",2024,"剧情,喜剧,爱情",中国香港,"粤语,汉语普通话",2024-11-15,114,9928,"19.7%,41.6%,31.1%,6.0%,1.6%"
54,宫崎骏,9.1,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介",2004,"爱情,动画,奇幻,冒险",日本,日语,2024-04-30,119,1188568,"63.8%,29.1%,6.4%,0.5%,0.2%"
55,迈克·内威尔,8.8,哈利·波特与火焰杯,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,迈克尔·刚本,玛吉·史密斯",2005,"悬疑,奇幻,冒险","英国,美国","英语,法语",2005-11-18,157,738954,"51.7%,37.9%,9.7%,0.6%,0.1%"
56,"闫非,彭大魔",7.9,夏洛特烦恼,"沈腾,马丽,尹正,艾伦,王智",2015,"喜剧,爱情",中国大陆,汉语普通话,2015-09-30,104,1060601,"29.2%,42.3%,22.8%,4.1%,1.7%"
57,加布里埃莱·穆奇诺,9.2,当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威 ,詹姆斯·凯伦",2006,"剧情,家庭,传记",美国,"英语,粤语",2008-01-17,117,1607187,"64.7%,28.9%,5.7%,0.4%,0.2%"
58,阿方索·卡隆,9.0,哈利·波特与阿兹卡班的囚徒,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,加里·奥德曼,朱丽·沃特斯",2004,"奇幻,冒险","英国,美国",英语,2004-09-10,141,820820,"57.7%,34.0%,7.8%,0.4%,0.1%"
59,韩延,8.1,我们一起摇太阳,"彭昱畅,李庚希,徐帆,高亚麟,刘丹",2024,"剧情,爱情,家庭","中国大陆,中国香港",汉语普通话,2024-02-10,129,209049,"28.7%,48.7%,19.7%,2.2%,0.7%"
60,巴勃罗·贝格尔,9.0,机器人之梦,"伊万·拉班达,阿尔伯特·特里佛·塞加拉,拉法·卡尔沃,何塞·加西亚·托斯,何塞·路易斯·梅地亚维拉",2023,"剧情,动画,音乐","西班牙,法国",无对白,2024-06-08,102,234764,"60.2%,32.3%,6.7%,0.6%,0.2%"
61,冢原亚由子,7.5,最后的里程,"满岛光,冈田将生,阿部隆史,藤冈靛,火野正平",2024,"剧情,悬疑",日本,日语,2024-11-09,128,20559,"20.1%,42.1%,30.8%,5.4%,1.5%"
62,曾国祥,8.2,少年的你,"周冬雨,易烊千玺,尹昉,周也,吴越",2019,"剧情,爱情,犯罪","中国大陆,中国香港",汉语普通话,2019-10-25,135,1515244,"33.7%,46.6%,16.3%,2.1%,1.3%"
63,贾樟柯,6.2,风流一代,"赵涛,李竺斌,潘剑林,兰周,周游",2024,"剧情,爱情",中国大陆,汉语普通话,2024-11-22,111,12429,"8.8%,25.0%,41.3%,19.4%,5.4%"
64,延尚昊,8.6,釜山行,"孔刘,郑裕美,马东锡,金秀安,金义城",2016,"动作,惊悚,灾难",韩国,韩语,2016-05-13,118,1279440,"43.8%,44.2%,10.9%,0.8%,0.3%"
65,"彼特·道格特,鲍勃·彼德森",9.1,飞屋环游记,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多",2009,"剧情,喜剧,动画,冒险",美国,英语,2009-08-04,96,1413411,"61.2%,32.2%,6.2%,0.3%,0.1%"
66,周星驰,8.9,功夫,"周星驰,元秋,元华,黄圣依,梁小龙",2004,"喜剧,动作,犯罪,奇幻","中国大陆,中国香港","粤语,汉语普通话,手语",2004-12-23,100,1238725,"54.9%,34.0%,10.2%,0.8%,0.2%"
67,"闫非,彭大魔",6.6,西虹市首富,"沈腾,宋芸桦,张一鸣,张晨光,常远",2018,喜剧,中国大陆,汉语普通话,2018-07-27,118,1063417,"10.3%,28.5%,43.7%,13.6%,4.0%"
68,詹姆斯·卡梅隆,8.8,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹",2009,"动作,科幻,冒险",美国,"英语,西班牙语",2010-01-04,162,1499703,"54.2%,34.9%,9.9%,0.8%,0.3%"
69,刘镇伟,9.2,大话西游之大圣娶亲,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",1995,"喜剧,爱情,奇幻,古装","中国香港,中国大陆","粤语,汉语普通话",2014-10-24,95,1622070,"66.9%,26.3%,5.9%,0.5%,0.3%"
70,张艺谋,7.5,第二十条,"雷佳音,马丽,赵丽颖,高叶,刘耀文",2024,"剧情,喜剧,家庭",中国大陆,"汉语普通话,中国手语",2024-02-10,141,722292,"23.5%,40.6%,27.4%,6.1%,2.5%"
71,"郭虎,任海涛",5.9,沉香如屑·沉香重华,"杨紫,成毅,张睿,孟子义,朱泳腾",2022,古装,中国大陆,汉语普通话,2022-07-20,96,642974,"21.5%,16.1%,19.4%,20.8%,22.2%"
72,克里斯·哥伦布,8.9,哈利·波特与密室,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,汤姆·费尔顿,理查德·格雷弗斯",2002,"奇幻,冒险","英国,美国",英语,2003-01-24,161,846797,"54.0%,36.9%,8.6%,0.4%,0.1%"
73,李力持,8.7,唐伯虎点秋香,"周星驰,巩俐,陈百祥,郑佩佩,朱咪咪",1993,"喜剧,爱情,古装",中国香港,粤语,1993-07-01,102,1156151,"48.8%,40.4%,10.1%,0.6%,0.1%"
74,董润年,8.1,年会不能停！,"大鹏,白客,庄达菲,王迅,孙艺洲",2023,"剧情,喜剧",中国大陆,汉语普通话,2023-12-29,117,955238,"30.3%,47.4%,19.6%,2.2%,0.6%"
75,黄精甫,8.1,周处除三害,"阮经天,袁富华,陈以文,王净,谢琼煖",2023,"动作,犯罪",中国台湾,"汉语普通话,闽南语,粤语",2024-03-01,134,1016386,"29.2%,49.7%,18.7%,1.9%,0.5%"
76,宫崎骏,9.2,龙猫,"日高范子,坂本千夏,糸井重里,岛本须美,北林谷荣",1988,"动画,奇幻,冒险",日本,日语,2018-12-14,86,1342496,"64.4%,29.5%,5.8%,0.2%,0.1%"
77,徐峥,6.6,逆行人生,"徐峥,辛芷蕾,王骁,贾冰,冯兵",2024,剧情,中国大陆,汉语普通话,2024-08-09,121,205042,"10.8%,28.8%,43.6%,12.3%,4.4%"
78,大卫·叶茨,8.6,哈利·波特与死亡圣器(上),"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯",2010,"奇幻,冒险","英国,美国",英语,2010-11-19,146,636651,"44.6%,40.7%,13.4%,1.1%,0.3%"
79,"皮埃尔·柯芬,克里斯·雷纳德",8.7,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,朱莉·安德鲁斯,威尔·阿奈特",2010,"喜剧,动画,冒险","美国,法国",英语,2010-06-20,95,1002091,"45.3%,43.5%,10.6%,0.5%,0.1%"
80,刘镇伟,9.0,大话西游之月光宝盒,"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚",1995,"喜剧,爱情,奇幻,古装","中国香港,中国大陆","粤语,汉语普通话",2014-10-24,88,1291948,"60.5%,31.4%,7.3%,0.6%,0.2%"
81,陈思诚,5.3,唐人街探案3,"王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美",2021,"喜剧,悬疑","中国大陆,中国香港,日本","汉语普通话,日语,英语,泰语",2021-02-12,136,1095198,"3.6%,12.3%,41.1%,29.7%,13.2%"
82,郭帆,8.3,流浪地球2,"吴京,刘德华,李雪健,沙溢,宁理",2023,"科幻,冒险,灾难",中国大陆,"汉语普通话,俄语,英语,印地语,法语,葡萄牙语,日语,韩语,泰语,南非荷兰语",2023-01-22,173,1339390,"44.5%,34.1%,16.3%,3.5%,1.6%"
83,"奥利维埃·纳卡什,埃里克·托莱达诺",9.3,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,约瑟芬娜·德·摩",2011,"剧情,喜剧",法国,法语,2011-11-02,112,1209498,"68.8%,26.8%,4.1%,0.3%,0.1%"
84,陈思诚,7.7,唐人街探案,"王宝强,刘昊然,佟丽娅,陈赫,肖央",2015,"喜剧,动作,悬疑",中国大陆,"汉语普通话,泰语,英语",2015-12-31,135,893505,"21.1%,49.6%,25.4%,3.0%,1.0%"
85,"尹涛,麦贯之",7.5,琉璃,"成毅,袁冰妍,刘学义,张予曦,白澍",2020,"剧情,古装",中国大陆,汉语普通话,2020-08-06,71,417687,"30.2%,29.3%,28.3%,7.9%,4.3%"
86,拉斯·霍尔斯道姆,9.4,忠犬八公的故事,"理查·基尔,莎拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利",2009,剧情,"美国,英国","英语,日语",2009-06-13,93,1470091,"74.9%,21.1%,3.6%,0.3%,0.1%"
87,杨圆圆,8.4,女人世界,"余金巧,方美仙,史蒂芬·金,杨圆圆",2024,纪录片,中国大陆,"英语,西班牙语,粤语,汉语普通话",2024-11-05,85,13657,"38.0%,44.5%,15.8%,1.6%,0.0%"
88,安德鲁·斯坦顿,9.3,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,西格妮·韦弗",2008,"科幻,动画,冒险",美国,英语,2008-06-27,98,1401016,"71.9%,23.9%,3.9%,0.2%,0.1%"
89,克里斯托夫·巴哈蒂,9.3,放牛班的春天,"让-巴蒂斯特·莫尼耶,热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德,让-保罗·博奈雷",2004,"剧情,音乐","法国,瑞士,德国",法语,2004-10-16,97,1395866,"71.0%,25.2%,3.5%,0.2%,0.1%"
90,"帕斯卡尔·沙吕,阿诺德·德洛德,杰罗姆·科姆",9.0,英雄联盟：双城之战 第一季,"艾拉·珀内尔,海莉·斯坦菲尔德,凯文·阿历詹卓,杰森·斯皮萨克,梁佩诗",2021,"动作,科幻,动画,冒险","美国,法国",英语,2021-11-07,68,204598,"59.8%,32.1%,7.0%,0.9%,0.2%"
91,大卫·叶茨,9.0,哈利·波特与死亡圣器(下),"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯",2011,"奇幻,冒险","美国,英国",英语,2011-08-04,130,899588,"59.7%,31.4%,8.1%,0.6%,0.2%"
92,肖恩·利维,6.9,死侍与金刚狼,"瑞安·雷诺兹,休·杰克曼,艾玛·科林,马修·麦克费登,达芙妮·基恩",2024,"喜剧,动作,科幻",美国,"英语,法语,西班牙语",2024-07-26,127,234734,"14.2%,34.0%,39.2%,9.9%,2.7%"
93,"唐·霍尔,克里斯·威廉姆斯",8.8,超能陆战队,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,郑智麟",2014,"喜剧,动作,科幻,动画,冒险",美国,英语,2015-02-28,102,1084574,"49.1%,40.4%,9.9%,0.6%,0.1%"
94,刘栋,5.7,好团圆,"白百何,李纯,王玉雯,陈赫,于谨维",2024,剧情,中国大陆,汉语普通话,2024-10-26,86,11732,"4.6%,18.5%,45.6%,20.6%,10.7%"
95,陈思诚,6.6,唐人街探案2,"王宝强,刘昊然,肖央,刘承羽,尚语贤",2018,"喜剧,动作,悬疑",中国大陆,"汉语普通话,英语,日语,粤语",2018-02-16,121,933806,"8.4%,31.3%,45.0%,11.8%,3.6%"
96,托德·菲利普斯,6.1,小丑2：双重妄想,"华金·菲尼克斯,Lady Gaga,布莱丹·格里森,凯瑟琳·基纳,莎姬·贝兹",2024,"剧情,惊悚,歌舞,犯罪","美国,加拿大",英语,2024-10-16,138,69404,"8.9%,23.4%,38.5%,22.7%,6.5%"
97,"陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野",7.6,我和我的祖国,"黄渤,张译,韩昊霖,杜江,葛优",2019,剧情,中国大陆,汉语普通话,2019-09-30,155,1041992,"20.6%,44.7%,29.6%,4.0%,1.2%"
98,贾玲,7.6,热辣滚烫,"贾玲,雷佳音,张小斐,杨紫,沙溢",2024,"剧情,喜剧",中国大陆,汉语普通话,2024-02-10,129,845739,"29.2%,34.4%,26.1%,6.6%,3.7%"
99,申奥,6.9,孤注一掷,"张艺兴,金晨,咏梅,王传君,王大陆",2023,"剧情,犯罪",中国大陆,汉语普通话,2023-08-08,130,696958,"11.2%,34.5%,43.1%,8.6%,2.6%"
100,"克雷格·卓贝,凯文·布瑞,海伦·谢费,詹妮弗·盖辛格",8.8,企鹅人,"科林·法瑞尔,莱齐·费利兹,克里斯汀·米利欧缇,克兰西·布朗,索瑞·安达斯鲁",2024,"剧情,犯罪",美国,英语,2024-09-19,86,12579,"53.2%,34.7%,9.6%,1.5%,0.8%"
101,韩寒,6.8,飞驰人生,"沈腾,黄景瑜,尹正,张本煜,尹昉",2019,喜剧,中国大陆,"汉语普通话,英语",2019-02-05,98,983669,"11.1%,34.4%,41.7%,10.6%,2.3%"
102,乌尔善,7.8,封神第一部：朝歌风云,"费翔,李雪健,黄渤,于适,陈牧驰",2023,"动作,战争,奇幻,古装",中国大陆,汉语普通话,2023-07-20,148,1198923,"27.6%,41.8%,24.0%,4.7%,1.9%"
103,韩寒,7.6,飞驰人生2,"沈腾,范丞丞,尹正,张本煜,孙艺洲",2024,"剧情,喜剧,运动",中国大陆,汉语普通话,2024-02-10,121,706930,"22.3%,43.5%,28.2%,4.2%,1.7%"
104,李安,9.1,少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,阿迪勒·侯赛因,塔布",2012,"剧情,奇幻,冒险","美国,中国台湾,英国,加拿大","英语,泰米尔语,法语,日语,印地语,汉语普通话",2012-11-22,127,1422708,"61.6%,31.3%,6.4%,0.4%,0.2%"
